Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	habitantes	966	1	28230	966	966	966	966	1	28230	966	966	966	966	966	1	28230	966	1016	1016	1016	1016	1	28180	1016	0			0			0	28180	29196	202,62	44,24													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	hace	250	1	34725	250	250	250	250	1	34725	250	250	250	250	250	1	34725	250	266	266	266	266	1	34709	266	0			0			0	34709	34975	37,59	37,3													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	hasta	200	1	57526	200	200	200	200	1	57526	200	200	200	200	200	1	57526	200	217	217	217	217	1	57509	217	0			0			0	57509	57725	44,46	387,48													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	hasta2	883	2	70649	883	441	333	550	2	70649	550	883	441	333	550	2	70649	550	949	475	383	566	2	70633	566	0			0			0	73914	71199	156,21	38,65													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	herbacea	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	herbacea2	600	1	62489	600	600	600	600	1	62489	600	600	600	600	600	1	62489	600	633	633	633	633	1	62455	633	0			0			0		63088		44,16													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	Hispanoamerica	183	1	6396	183	183	183	183	1	6396	183	183	183	183	183	1	6396	183	200	200	200	200	1	6379	200	0			0			0	6379	6579	32,67	34,52													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	hojas	316	1	69767	316	316	316	316	1	69767	316	316	316	316	316	1	69767	316	333	333	333	333	1	69750	333	0			0			0		70083		35,85													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	humano	300	1	59258	300	300	300	300	1	59258	300	300	300	300	300	1	59258	300	333	333	333	333	1	59224	333	0			0			0	59224	59557	52,72	406,22													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	Idiomas	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	Imagen	267	1	0	0				0			267	267	267	267	1	0	267	267	267	267	267	1	0	267	0			0			0		267		389,54													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	irlandes	566	1	55527	566	566	566	566	1	55527	566	566	566	566	566	1	55527	566	600	600	600	600	1	55494	600	0			0			0	55494	56093	43,2	47,16													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	jardin	233	1	46184	233	233	233	233	1	46184	233	233	233	233	233	1	46184	233	266	266	266	266	1	46150	266	0			0			0	46150		45,65														
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	la	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	la1	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	la2	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	la3	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	la5	0	0		0				0			0				0			0				0			0			0			0																	
