Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	estrella	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	expandio	450	1	31191	450	450	450	450	1	31191	450	450	450	450	450	1	31191	450	516	516	516	516	1	31124	516	0			0			0	31124	31640	253	38,1													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	familia	233	1	11721	233	233	233	233	1	11721	233	233	233	233	233	1	11721	233	266	266	266	266	1	11688	266	0			0			0	11688	11955	64,69	44,45													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Filipinas	600	3	7824	600	200	117	266	3	7824	266	600	200	117	266	3	7824	266	716	239	183	283	3	7808	283	0			0			0	7808	8091	40,51	112,27													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	flores	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	forrajera	250	1	28093	250	250	250	250	1	28093	250	250	250	250	250	1	28093	250	266	266	266	266	1	28076	266	0			0			0	28076	28343	38,43	52,38													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	francés	217	1	33356	217	217	217	217	1	33356	217	217	217	217	217	1	33356	217	266	266	266	266	1	33306	266	0			0			0	33306	33572	468,73	58,05													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	fría	183	1	39784	183	183	183	183	1	39784	183	183	183	183	183	1	39784	183	217	217	217	217	1	39751	217	0			0			0	39751	39968	110,99	34,49													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	fue1	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Fue	300	2	14986	300	150	150	150	2	14986	150	300	150	150	150	2	14986	150	350	175	167	183	2	14969	167	0			0			0	14969	15136	48,29	613,12													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	gastronomico	633	3	29475	633	211	150	250	3	29475	250	633	211	150	250	3	29475	250	716	239	183	266	3	29459	266	0			0			0	29459	29725	49,05	43,71													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	genero	466	2	11188	466	233	183	283	2	11188	283	466	233	183	283	2	11188	283	533	266	217	316	2	11155	316	0			0			0	11155	11472	87,25	64,1													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	gracias	233	1	32373	233	233	233	233	1	32373	233	233	233	233	233	1	32373	233	266	266	266	266	1	32340	266	0			0			0	32340	32606	61,4	56,93													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	GuineaEcuatorial	350	3	9673	350	117	67	150	3	9673	133	383	192	67	316	2	9673	316	450	225	100	350	2	9640	350	0			0			1	9640	9989	93,99	47,13													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	habitantes	566	3	17617	566	189	133	283	3	17617	283	600	300	283	316	2	17617	283	666	333	333	333	2	17567	333	0			0			1	17567	17900	460,01	88,38													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	hace	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	hasta	117	1	34821	117	117	117	117	1	34821	117	117	117	117	117	1	34821	117	150	150	150	150	1	34788	150	0			0			0	34788	34938	44,75	653,07													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	hasta2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	herbacea	383	2	10322	383	192	167	217	2	10322	217	383	192	167	217	2	10322	217	466	233	200	266	2	10272	266	0			0			0	10272	10539	447,33	45,54													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	herbacea2	200	1	36986	200	200	200	200	1	36986	200	200	200	200	200	1	36986	200	217	217	217	217	1	36970	217	0			0			0	36970	37186	51,34	46,7													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Hispanoamerica	983	5	5926	983	197	67	316	5	5926	316	999	250	67	533	4	5926	533	1116	279	100	566	4	5892	566	0			0			1	5892	6459	66,9	44,19													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	hojas	250	1	39201	250	250	250	250	1	39201	250	250	250	250	250	1	39201	250	283	283	283	283	1	39168	283	0			0			0	39168	39451	65,35	74,57													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	humano	200	1	35954	200	200	200	200	1	35954	200	200	200	200	200	1	35954	200	233	233	233	233	1	35921	233	0			0			0	35921	36154	68,93	343,47													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Idiomas	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Imagen	333	2	41217	333	167	167	167	2	41217	167	333	167	167	167	2	41217	167	416	208	200	217	2	41167	217	0			0			0	41167	41383	206,99	59,12													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	irlandes	250	1	33922	250	250	250	250	1	33922	250	250	250	250	250	1	33922	250	283	283	283	283	1	33889	283	0			0			0	33889	34172	133,02	59,37													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	jardin	200	2	28376	133	133	133	133	1	28592	133	350	350	350	350	1	28376	350	383	383	383	383	1	28343	383	0			0			0	28343	28726	52,38	37,5													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	la	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	la1	0	0		0				0			0				0			0				0			0			0			0																	
