AOI,Oscuro_Total,Oscuro_Mean,Oscuro_Std,Claro_Total,Claro_Mean,Claro_Std,t_statistic,p_value,Significant,Difference_%
todos,9.0,0.2647058823529412,0.6183469424008423,0.0,0.0,0.0,2.4961508830135313,0.01506067232299157,Yes,0.0
versatil,8.0,0.23529411764705882,0.5537105429905546,0.0,0.0,0.0,2.477808484068317,0.01578596604882832,Yes,0.0
Enrique,0.0,0.0,0.0,8.0,0.23529411764705882,0.5537105429905546,-2.477808484068317,0.01578596604882832,Yes,-100.0
ofrece1,8.0,0.23529411764705882,0.5537105429905546,0.0,0.0,0.0,2.477808484068317,0.01578596604882832,Yes,0.0
elección,8.0,0.23529411764705882,0.5537105429905546,0.0,0.0,0.0,2.477808484068317,0.01578596604882832,Yes,0.0
para7,8.0,0.23529411764705882,0.5537105429905546,0.0,0.0,0.0,2.477808484068317,0.01578596604882832,Yes,0.0
de23,8.0,0.23529411764705882,0.5537105429905546,0.0,0.0,0.0,2.477808484068317,0.01578596604882832,Yes,0.0
cómoda,8.0,0.23529411764705882,0.5537105429905546,0.0,0.0,0.0,2.477808484068317,0.01578596604882832,Yes,0.0
véase,0.0,0.0,0.0,8.0,0.23529411764705882,0.5537105429905546,-2.477808484068317,0.01578596604882832,Yes,-100.0
los2,0.0,0.0,0.0,5.0,0.14705882352941177,0.35949062795357095,-2.385299807658105,0.019944451132010103,Yes,-100.0
ligero,5.0,0.14705882352941177,0.3594906279535709,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
las4,5.0,0.14705882352941177,0.35949062795357095,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
del,10.0,0.29411764705882354,0.7189812559071419,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
es2,0.0,0.0,0.0,5.0,0.14705882352941177,0.3594906279535709,-2.385299807658105,0.019944451132010103,Yes,-100.0
el1,5.0,0.14705882352941177,0.35949062795357095,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
flujo,5.0,0.14705882352941177,0.3594906279535709,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
El2,5.0,0.14705882352941177,0.3594906279535709,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
irlandes,0.0,0.0,0.0,5.0,0.14705882352941177,0.35949062795357095,-2.385299807658105,0.019944451132010103,Yes,-100.0
tus,5.0,0.14705882352941177,0.35949062795357095,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
para5,5.0,0.14705882352941177,0.35949062795357095,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
tu,5.0,0.14705882352941177,0.3594906279535709,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
para12,5.0,0.14705882352941177,0.3594906279535709,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
uno,0.0,0.0,0.0,5.0,0.14705882352941177,0.35949062795357095,-2.385299807658105,0.019944451132010103,Yes,-100.0
Las2,5.0,0.14705882352941177,0.3594906279535709,0.0,0.0,0.0,2.385299807658105,0.019944451132010103,Yes,0.0
perenne,0.0,0.0,0.0,5.0,0.14705882352941177,0.35949062795357095,-2.385299807658105,0.019944451132010103,Yes,-100.0
